strain,GISAID_Accession,Genbank_Accession,submitting_lab,originating_lab
a/wild_duck/shandong/w6271/2019,EPI2245832,,Liaocheng University,"College of Agronomy, Liaocheng University"
a/wild_duck/shandong/w6293/2019,EPI2245880,,Liaocheng University,"College of Agronomy, Liaocheng University"
a/wild_duck/shandong/w6279/2019,EPI2245856,,Liaocheng University,"College of Agronomy, Liaocheng University"
a/wild_duck/shandong/w6277/2019,EPI2245848,,Liaocheng University,"College of Agronomy, Liaocheng University"
a/wild_duck/shandong/w6275/2019,EPI2245840,,Liaocheng University,"College of Agronomy, Liaocheng University"
a/wild_duck/shandong/w6268/2019,EPI2245824,,Liaocheng University,"College of Agronomy, Liaocheng University"
a/duck/jiangsu/js1094/2019,,OM527205,"Yangzhou University, College of Veterinary Medicine",unknown
a/baikal_teal/xianghai/xh-15f/2012,,KJ907551,"Academy of Military Medical Sciences, Department of Virology Research",unknown
a/duck/shanghai/74-1/2009,,KU158894,"Chinese Academy of Agricultural Sciences, Shanghai Veterinary Research Institute",unknown
a/duck/vietnam/lbm533/2013,EPI515135,,unknown,unknown
a/duck/hunan/s1256/2012,,CY146604,"Harbin Veterinary Research Institute, Animal Influenza Laboratory of the Ministry of Agriculture",unknown
a/duck/hokkaido/221/2008,EPI1189823,,unknown,unknown
a/pintail/mongolia/2-65/2007,,JN029623,"National Veterinary Research and Quarantine Service, Avian Disease Division",unknown
a/ruddy_shelduck/mongolia/2-79/2007,,JN029642,"National Veterinary Research and Quarantine Service, Avian Disease Division",unknown
a/whooper_swan/mongolia/1-17/2007,,JN029557,"National Veterinary Research and Quarantine Service, Avian Disease Division",unknown
a/duck/thailand/cu-11825c/2011,,KJ161947,"Chulalongkorn University, Veterinary Public Health",unknown
a/chicken/cambodia/kandaltbong/160602/2012/h3n6,EPI702679,,Swedish Veterinary Agency (SVA),National Veterinary Research Institute
a/duck/thailand/cu-11828c/2011,EPI506531,,unknown,unknown
a/duck/thailand/cu-11831t/2011,,KJ161949,"Chulalongkorn University, Veterinary Public Health",unknown
a/duck/thailand/cu-11826c/2011,,KJ161966,"Chulalongkorn University, Veterinary Public Health",unknown
a/duck/thailand/cu-11824t/2011,,KJ161963,"Chulalongkorn University, Veterinary Public Health",unknown
a/duck/thailand/cu-11827t/2011,,KJ161942,"Chulalongkorn University, Veterinary Public Health",unknown
a/common_teal/sakhalin/110c/2020,EPI1847519,,National Institute of Animal Health,Research Institute of Experimental and Clinical Medicine
a/common_teal/sakhalin/81c/2020,EPI1847535,,National Institute of Animal Health,Research Institute of Experimental and Clinical Medicine
a/duck/guangdong/h31/2020,EPI1838454,,South China Agricultural University,South China Agricultural University Veterinary Medicine College    
a/northern_pintail/alaska/ak20-463/2020,EPI2143030,,unknown,unknown
a/common_teal/sakhalin/od15/2019,EPI1638372,,National Institute of Animal Health,Research Institute of Experimental and Clinical Medicine
a/common_teal/sakhalin/od18/2019,EPI1638388,,National Institute of Animal Health,Research Institute of Experimental and Clinical Medicine
a/duck/hokkaido/w154/2017,,MK592549,"Hokkaido University, Faculty of Veterinary Medicine",unknown
a/duck/hokkaido/w151/2017,,MK592541,"Hokkaido University, Faculty of Veterinary Medicine",unknown
a/duck/hokkaido/w144/2017,,MK592533,"Hokkaido University, Faculty of Veterinary Medicine",unknown
a/wild_duck/shandong/w2021/2017,EPI2245808,,Liaocheng University,"College of Agronomy, Liaocheng University"
a/wild_duck/shandong/w1765/2017,EPI2245766,,Liaocheng University,"College of Agronomy, Liaocheng University"
a/wild_duck/shandong/w1766/2017,EPI2245774,,Liaocheng University,"College of Agronomy, Liaocheng University"
a/duck/hokkaido/obf2/2018,EPI1776298,,unknown,unknown
a/gadwall/amur_region/74b/2020,EPI1850021,,National Institute of Animal Health,Research Institute of Experimental and Clinical Medicine
a/northern_pintail/russia_primorje/298/2019,EPI1657099,,National Institute of Animal Health,Research Institute of Experimental and Clinical Medicine
a/mallard/alaska/ak18-wb2-185a/2018,EPI1772654,,unknown,unknown
a/green-winged_teal/alaska/ak18-wb2-203a/2018,EPI1772798,,unknown,unknown
a/mallard/alaska/ak18-wb1-048b/2018,EPI1772814,,unknown,unknown
a/mallard/alaska/ak18-wb1-048a/2018,EPI1772806,,unknown,unknown
a/northern_shoveler/mongolia/899v/2009,,KF501066,"School of Public Health, The University of Hong Kong",unknown
a/whooper_swan/mongolia/1-23/2007,,JN029573,"National Veterinary Research and Quarantine Service, Avian Disease Division",unknown
a/whooper_swan/mongolia/1-27/2007,,JN029596,"National Veterinary Research and Quarantine Service, Avian Disease Division",unknown
a/common_teal/mongolia/2271/2011,,KF501098,"School of Public Health, The University of Hong Kong",unknown
a/duck/mongolia/278/2011,,LC349359,"Faculty of Veterinary Medicine; kita18 nishi9, kita-ku, Sapporo, Hokkaido 060-0818",unknown
a/duck/mongolia/279/2011,,LC349367,"Faculty of Veterinary Medicine; kita18 nishi9, kita-ku, Sapporo, Hokkaido 060-0818",unknown
a/duck/mongolia/566/2018,EPI1510558,,unknown,unknown
a/duck/mongolia/513/2018,,MK978944,"Hokkaido University, Faculty of Veterinary Medicine",unknown
a/duck/mongolia/734/2018,EPI1510622,,unknown,unknown
a/duck/bangladesh/bdadai-3086/2019,EPI1932194,,unknown,unknown
a/duck/bangladesh/3086/2019__h3n8_,EPI1888338,,St. Jude Children's Research Hospital,Chattogram Veterinary and Animal Sciences University
a/duck/bangladesh/bdadai-3088/2019,EPI1932193,,unknown,unknown
a/duck/bangladesh/3088/2019__h3n8_,EPI1888341,,St. Jude Children's Research Hospital,Chattogram Veterinary and Animal Sciences University
a/duck/bangladesh/2204/2019__h3n8_,EPI1888008,,St. Jude Children's Research Hospital,Chattogram Veterinary and Animal Sciences University
a/duck/bangladesh/bdadai-3147/2019,EPI2117004,,unknown,unknown
a/duck/bangladesh/3147/2019__h3n8_,EPI1889101,,St. Jude Children's Research Hospital,Chattogram Veterinary and Animal Sciences University
a/duck/bangladesh/2561/2019__h3n8_,EPI1888014,,St. Jude Children's Research Hospital,Chattogram Veterinary and Animal Sciences University
a/duck/bangladesh/bdadai-3237/2019,EPI2117008,,unknown,unknown
a/duck/bangladesh/3237/2019__h3n8_,EPI1889105,,St. Jude Children's Research Hospital,Chattogram Veterinary and Animal Sciences University
a/duck/bangladesh/3089/2019__h3n8_,EPI1888342,,St. Jude Children's Research Hospital,Chattogram Veterinary and Animal Sciences University
a/duck/bangladesh/bdadai-3089/2019,EPI1932197,,unknown,unknown
a/duck/bangladesh/3084/2019__h3n8_,EPI1888336,,St. Jude Children's Research Hospital,Chattogram Veterinary and Animal Sciences University
a/duck/bangladesh/bdadai-3094/2019,EPI1932204,,unknown,unknown
a/duck/bangladesh/bdadai-3091/2019,EPI1932199,,unknown,unknown
a/duck/bangladesh/3094/2019__h3n8_,EPI1889093,,St. Jude Children's Research Hospital,Chattogram Veterinary and Animal Sciences University
a/duck/bangladesh/bdadai-3084/2019,EPI1933039,,unknown,unknown
a/duck/bangladesh/3091/2019__h3n8_,EPI1889089,,St. Jude Children's Research Hospital,Chattogram Veterinary and Animal Sciences University
a/chicken/bangladesh/2478/2019__h3n8_,EPI1888010,,St. Jude Children's Research Hospital,Chattogram Veterinary and Animal Sciences University
a/duck/bangladesh/bdadai-3129/2019,EPI1932207,,unknown,unknown
a/duck/bangladesh/3129/2019__h3n8_,EPI1889097,,St. Jude Children's Research Hospital,Chattogram Veterinary and Animal Sciences University
a/duck/mongolia/575/2018,,MK978960,"Hokkaido University, Faculty of Veterinary Medicine",unknown
a/duck/guangxi/04.10_jx050/2015_mixed_,EPI667005,,"Institute of Microbiology, Chinese Academy of Sciences",unknown
a/chicken/ganzhou/gz157/2016,,KY415634,"National Institute for Communicable Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Department of Zoonoses",unknown
a/chicken/ganzhou/gz43/2016,,KY415635,"National Institute for Communicable Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Department of Zoonoses",unknown
a/mallard/netherlands/8/2013,EPI1530561,,unknown,unknown
a/teal/chany/736/2008,,CY100065,"State Research Center of Virology and Biotechnology ""Vector"", Emerging Zoonotic Diseases and Influenza",unknown
a/gadwall/altai/1326/2007,,CY049804,"State Research Center of Virology and Biotechnology ""Vector""",unknown
a/gadwall/altai/1324/2007,EPI222055,,unknown,unknown
a/gadwall/altai/1328/2007,EPI222079,,unknown,unknown
a/duck/moscow/3806/2009,EPI1785223,,unknown,unknown
a/mallard/sweden/599/2014,,KY320426,"Peter Doherty Institute for Infection and Immunity, WHO Collaborating Centre for Influenza",unknown
a/northern_pintail/novosibirsk_region/3289k/2020,EPI1849973,,National Institute of Animal Health,Research Institute of Experimental and Clinical Medicine
a/pintail/novosibirsk_region/519k/2018,EPI1353320,,National Institute of Animal Health,Research Institute of Experimental and Clinical Medicine
a/anas_platyrhynchos/belgium/2499_0006/2021__mixed_,EPI2122991,,"Sciensano, Department of Animal Infectious Diseases",Sciensano - Animal Infectious Diseases
a/mallard/netherlands/29/2013,EPI1537027,,unknown,unknown
a/anas_platyrhynchos/belgium/11294_004/2021,EPI1943018,,"Sciensano, Department of Animal Infectious Diseases",Sciensano - Animal Infectious Diseases
a/anas_platyrhynchos/belgium/11027_19/2017,EPI1774328,,unknown,unknown
a/euraisan_coot/novosibirsk_region/3493k/2020,EPI1849869,,National Institute of Animal Health,Research Institute of Experimental and Clinical Medicine
a/duck/mongolia/173/2015,EPI704323,,unknown,unknown
a/duck/mongolia/179/2015,EPI704340,,unknown,unknown
a/duck/bangladesh/20d677/2016,EPI1330330,,Centers for Disease Control and Prevention,"icddr,b International Centre for Diarrhoeal Disease Research, Bangladesh"
a/duck/bangladesh/20d678/2016,EPI1330337,,Centers for Disease Control and Prevention,"icddr,b International Centre for Diarrhoeal Disease Research, Bangladesh"
a/common_teal/chany/891/2018,EPI1333711,,State Research Center of Virology and Biotechnology (VECTOR),State Research Center of Virology and Biotechnology (VECTOR)
a/common_teal/chany/892/2018,EPI1333719,,State Research Center of Virology and Biotechnology (VECTOR),State Research Center of Virology and Biotechnology (VECTOR)
a/common_teal/chany/889/2018,EPI1333703,,State Research Center of Virology and Biotechnology (VECTOR),State Research Center of Virology and Biotechnology (VECTOR)
a/common_teal/chany/893/2018,EPI1333727,,State Research Center of Virology and Biotechnology (VECTOR),State Research Center of Virology and Biotechnology (VECTOR)
a/garganey/egypt/mb-d-1323c/2017,,OQ793824,"St. Jude Center of Excellence for Influenza Research and Surveillance (CEIRS), CEIRS Data Processing and Coordinating Center",unknown
a/greylag_goose/north-kazakhstan/62/2019,EPI1790211,,unknown,unknown
a/domestic_duck/iran/domestic_duck_375/2017,,MW422771,"Razi vaacine and serum research, Avian diseases",unknown
a/domestic_duck/iran/domestic_duck_379/2017,,MW422885,"Razi vaacine and serum research, Avian diseases",unknown
a/green_sandpiper/kurgan/1046/2018,EPI1440596,,State Research Center of Virology and Biotechnology (VECTOR),State Research Center of Virology and Biotechnology (VECTOR)
a/green_sandpiper/kurgan/1048/2018,EPI1440604,,State Research Center of Virology and Biotechnology (VECTOR),State Research Center of Virology and Biotechnology (VECTOR)
a/green_sandpiper/kurgan/1043/2018,EPI1440588,,State Research Center of Virology and Biotechnology (VECTOR),State Research Center of Virology and Biotechnology (VECTOR)
a/green_sandpiper/kurgan/1050/2018,EPI1440613,,State Research Center of Virology and Biotechnology (VECTOR),State Research Center of Virology and Biotechnology (VECTOR)
a/gadwall/omsk_region/129/2019,EPI1638540,,National Institute of Animal Health,Research Institute of Experimental and Clinical Medicine
a/teal/dagestan/23d/2018,EPI1358860,,National Institute of Animal Health,Research Institute of Experimental and Clinical Medicine
a/common_teal/novosibirsk_region/3556k/2020,EPI1850436,,National Institute of Animal Health,Research Institute of Experimental and Clinical Medicine
a/coot/novosibirsk_region/563/2018,EPI1352494,,National Institute of Animal Health,Research Institute of Experimental and Clinical Medicine
a/gadwall/novosibirsk_region/982k/2018,EPI1352462,,National Institute of Animal Health,Research Institute of Experimental and Clinical Medicine
a/pintail/novosibirsk_region/518k/2018,EPI1352478,,National Institute of Animal Health,Research Institute of Experimental and Clinical Medicine
a/common_teal/novosibirsk_region/3327k/2020,EPI1849837,,National Institute of Animal Health,Research Institute of Experimental and Clinical Medicine
a/mallard/novosibirsk_region/3314k/2020,EPI1849893,,National Institute of Animal Health,Research Institute of Experimental and Clinical Medicine
a/shoveler/novosibirsk_region/3465k/2020,EPI1849981,,National Institute of Animal Health,Research Institute of Experimental and Clinical Medicine
a/anas_platyrhynchos/luxembourg/22154646/2022,EPI2283192,,Luxembourg Institute of Health,Laboratoire de médecine vétérinaire de l'Etat
a/duck/moscow/6147/2022,,PP754247,"The Gamaleya National Research Centre for Epidemiology and Microbiology, The Russian Ministry of Health",unknown
a/wide_bird/ebinur_lake/47/2017,,ON287065,"South China Agricultural University, College of Veterinary Medicine",unknown
a/rook/novosibirsk/44-2v/2021,EPI1957929,,State Research Center of Virology and Biotechnology (VECTOR),State Research Center of Virology and Biotechnology (VECTOR)
a/sterna_paradisaea/fildes_peninsula__king_george_island/09/2023,EPI3349807,,Central Research Institute of Epidemiology,Research Institute of Experimental and Clinical Medicine
a/duck/assam/ducl1512100011/2015,,MT272413,"ICAR-National Institute of High Security Animal Disease, Diagnostic II laboratory",unknown
a/duck/assam/duor1512100030/2015,EPI1889810,,unknown,unknown
a/duck/assam/duor1512100004/2015,,MT272421,"ICAR-National Institute of High Security Animal Disease, Diagnostic II laboratory",unknown
a/common_teal/omsk_region/54/2019,EPI1638444,,National Institute of Animal Health,Research Institute of Experimental and Clinical Medicine
a/anas_platyrhynchos/belgium/00330_0004/2023,EPI2495410,,"Sciensano, Department of Animal Infectious Diseases",Sciensano - Animal Infectious Diseases
a/anas_platyrhynchos/belgium/2214_0001/2021,EPI2122885,,"Sciensano, Department of Animal Infectious Diseases",Sciensano - Animal Infectious Diseases
a/anas_platyrhynchos/belgium/2987_0001/2021,EPI2122933,,"Sciensano, Department of Animal Infectious Diseases",Sciensano - Animal Infectious Diseases
a/duck/moscow/5881/2021,,OP133624,"The Gamaleya National Research Centre for Epidemiology and Microbiology, The Russian Ministry of Health",unknown
a/duck/chernogolovka/5897/2021,,OP136011,"The Gamaleya National Research Centre for Epidemiology and Microbiology, The Russian Ministry of Health",unknown
a/duck/chernogolovka/5908/2021,,OP135951,"The Gamaleya National Research Centre for Epidemiology and Microbiology, The Russian Ministry of Health",unknown
a/mallard/chany_lake/48/2018,EPI1353361,,National Institute of Animal Health,Research Institute of Experimental and Clinical Medicine
a/teal/buryatia/63/2018,EPI1353336,,National Institute of Animal Health,Research Institute of Experimental and Clinical Medicine
a/duck/mongolia/wku-38/2022,EPI2777224,,unknown,unknown
a/duck/mongolia/wku-42/2022,EPI2777232,,unknown,unknown
a/common_teal/chany_lake/38/2019,EPI1638428,,National Institute of Animal Health,Research Institute of Experimental and Clinical Medicine
a/common_teal/novosibirsk_region/3515k/2020,EPI1850420,,National Institute of Animal Health,Research Institute of Experimental and Clinical Medicine
a/common_teal/novosibirsk_region/3324k/2020,EPI1849829,,National Institute of Animal Health,Research Institute of Experimental and Clinical Medicine
a/mallard/novosibirsk_region/3265k/2020,EPI1850029,,National Institute of Animal Health,Research Institute of Experimental and Clinical Medicine
a/duck/nanchang/1681/1992,,CY006016,"St. Jude Children's Research Hospital, Hartwell Center for Bioinformatics & Biotechnology",unknown
a/mallard/new_zealand/449-84/2004,EPI297451,,unknown,unknown
a/chestnut_teal/victoria/1/2004,,CY094935,"on behalf of JCVI/Australian Animal Healh Laboratory/NCBI, National Center for Biotechnology Information, NIH",unknown
a/mallard/tasmania/06-0297-31/2006,EPI2143715,,unknown,unknown
a/wild_duck/victoria/10-03507-019/2010,,OL371215,"CSIRO, Australian Centre for Disease Preparedness",unknown
a/ruddy_turnstone/tas/7048/2014,EPI1902328,,unknown,unknown
a/ruddy_turnstone/tas/7040/2014,EPI1902321,,unknown,unknown
a/ruddy_turnstone/tas/7049/2014,EPI1902334,,unknown,unknown
a/wild_waterfowl/south_australia/15-5472990-54/2015,EPI2145843,,unknown,unknown
a/pacific_black_duck/victoria/9718/2016,,OL370551,"CSIRO, Australian Centre for Disease Preparedness",unknown
a/pacific_black_duck/victoria/10582/2017,,OL370495,"CSIRO, Australian Centre for Disease Preparedness",unknown
a/pink-eared_duck/victoria/10826/2017,EPI2144435,,unknown,unknown
a/wild_waterfowl/western_australia/as16-3326-127/2016,EPI2145931,,unknown,unknown
a/wild_waterfowl/western_australia/as16-3326-174/2016,EPI2145939,,unknown,unknown
a/wild_duck/tasmania/16-0910-19/2016,,OL371135,"CSIRO, Australian Centre for Disease Preparedness",unknown
a/wild_duck/tasmania/16-0910-8/2016,,OL371143,"CSIRO, Australian Centre for Disease Preparedness",unknown
a/grey_teal/victoria/10834/2017,EPI2144395,,unknown,unknown
a/ruddy_turnstone/king_island/11986/2017,EPI2144491,,unknown,unknown
a/ruddy_turnstone/king_island/11988/2017,EPI2144499,,unknown,unknown
a/ruddy_turnstone/king_island/11990/2017,,OL370735,"CSIRO, Australian Centre for Disease Preparedness",unknown
a/ruddy_turnstone/king_island/12012/2017,EPI2144523,,unknown,unknown
a/ruddy_turnstone/king_island/11991/2017,EPI2144515,,unknown,unknown
a/wild_waterfowl/queensland/p19-01624-26/2019,EPI2144085,,unknown,unknown
